,term,tf_idf_score,tfidf_normalized
2924,hillary,197.5469464595844,0.015779113852415146
363,arafat,149.41127125886294,0.011934264245942227
8198,boomers,139.52376066084994,0.011144496759078403
5628,saddam,131.83347464017316,0.010530233158184316
3211,internet,131.00481712582965,0.010464043923180571
7026,wye,129.63625006283695,0.010354729272214577
6618,unscom,117.55151488748774,0.009389457899381014
3549,kosovo,106.74466580623158,0.008526258011480466
958,clinton,90.61381372659544,0.0072378019960233
2651,gore,88.02969193111305,0.007031394593883241
4529,netanyahu,85.95025038943322,0.006865298658594661
4633,ofac,82.39592165010824,0.006581395723865198
793,bosnia,81.79136730607354,0.0065331067880175
1580,dc,81.79136730607354,0.0065331067880175
2104,environmental,74.60557989190225,0.00595914014484968
4245,milosevic,65.91673732008658,0.005265116579092158
3813,lockhart,61.522288165414146,0.004914108807152681
4095,mccurry,61.522288165414146,0.004914108807152681
4140,medicare,60.00883600000833,0.004793221420857351
1632,daschle,59.32506358807793,0.004738604921182943
2601,gingrich,59.32506358807793,0.004738604921182943
4859,pastrana,58.22645129940982,0.004650852978198073
3230,iraqi,57.17058024325118,0.004566515002303287
3074,imf,56.83806880591551,0.004539955564554533
819,brady,56.83806880591551,0.004539955564554533
5564,rubin,53.83200214473738,0.004299845206258596
2755,hmo,53.37233290311579,0.004263129005740233
5726,schumer,52.67918572255584,0.004207763693977373
7059,yeltsin,51.63477756740116,0.004124341320288857
1575,czech,51.63477756740116,0.004124341320288857
2563,gephardt,50.53616527873305,0.0040365893773039885
2844,havel,50.53616527873305,0.0040365893773039885
4661,obuchi,49.43755299006494,0.003948837434319118
3044,hussein,48.52030263919617,0.0038755718234002117
6614,unita,48.33894070139683,0.0038610854913342495
1085,caucus,45.054566736396445,0.003598745264585911
7050,yasser,45.0431038353925,0.0035978296623796415
3309,jazz,45.0431038353925,0.0035978296623796415
4547,newt,43.94449154672439,0.0035100777193947724
5157,protections,43.79023167568175,0.003497756171976986
6297,tanzania,42.84587925805628,0.003422325776409903
6619,unscr,42.84587925805628,0.003422325776409903
3341,jiang,42.84587925805628,0.003422325776409903
713,binyamin,42.84587925805628,0.003422325776409903
5826,shalala,41.74726696938817,0.0033345738334250334
2537,gaza,41.58883083359672,0.00332191870577161
4810,palestinians,41.35744102703277,0.0033034363846449312
291,angola,40.648654680720064,0.0032468218904401643
257,americorps,39.55004239205195,0.003159069947455295
2613,glickman,39.50938929191688,0.0031558227704830298
3253,israel,38.469848483524416,0.003072789177386149
7885,baby,36.828954472378825,0.002941722340436029
