,term,tf_idf_score,tfidf_normalized
3562,suez,74.8598955004741,0.012527428418996914
504,bulganin,62.62090045408226,0.010479293922694278
2342,merriman,33.27106466687737,0.005567745963998627
277,arrowsmith,32.95836866004329,0.005515417854049619
1077,disapproval,32.842673756761315,0.005496056891686286
2308,mckay,31.859756371375184,0.005331570592247965
1610,hagerty,28.563919505370855,0.004780028806843003
3488,stassen,27.725887222397812,0.00463978830333219
3136,reston,27.465307216702744,0.004596181545041349
1575,gronchi,25.268082639366526,0.004228487021438042
1779,io,24.248767053595962,0.004057909665542216
1423,folliard,24.169470350698415,0.004044639759636388
2474,nehru,24.169470350698415,0.004044639759636388
1136,dulles,23.9224413783817,0.004003300698882603
2568,nuclear,23.884123940008053,0.003996888467564138
2302,mcclendon,23.56700413903814,0.003943820057832361
2537,nikolai,23.070858062030304,0.003860792497834733
1458,fremd,23.070858062030304,0.003860792497834733
1749,hungarian,21.895115837840876,0.003664037927790857
3378,shutt,20.873633484694086,0.0034930979742314253
3117,republicanism,19.775021196025975,0.003309250712429771
3287,scherer,19.775021196025975,0.003309250712429771
1219,elkins,19.775021196025975,0.003309250712429771
509,burd,19.775021196025975,0.003309250712429771
3466,spivack,19.775021196025975,0.003309250712429771
651,chalmers,18.676408907357867,0.003125403450628118
616,carpenters,18.676408907357867,0.003125403450628118
1024,dental,18.021826694558577,0.003015862397165923
3662,telenews,17.577796618689757,0.0029415561888264637
3319,sedgwick,17.577796618689757,0.0029415561888264637
2848,poliomyelitis,17.577796618689757,0.0029415561888264637
3515,stevenson,16.635532333438686,0.0027838729819993136
2306,mcgaffin,16.479184330021646,0.0027577089270248096
9607,oratory,16.479184330021646,0.0027577089270248096
3243,sukarno,16.479184330021646,0.0027577089270248096
1490,gruenther,16.479184330021646,0.0027577089270248096
1986,joiners,15.380572041353537,0.0025738616652231554
3201,rowland,15.380572041353537,0.0025738616652231554
3851,von,14.596743891893919,0.0024426919518605716
1676,herling,14.281959752685427,0.0023900144034215017
2799,pfeifer,14.281959752685427,0.0023900144034215017
469,brandt,14.191278783785753,0.0023748393976422222
477,bricker,13.183347464017316,0.0022061671416198476
1148,dwigeit,13.183347464017316,0.0022061671416198476
3286,scheibel,13.183347464017316,0.0022061671416198476
2091,langlie,13.183347464017316,0.0022061671416198476
823,confers,13.183347464017316,0.0022061671416198476
1264,escapees,13.183347464017316,0.0022061671416198476
1773,incur,13.16979643063896,0.00220389944408279
390,baylor,13.16979643063896,0.00220389944408279
792,communism,12.163953243244931,0.0020355766265504763
807,compton,12.084735175349207,0.002022319879818194
3255,salk,12.084735175349207,0.002022319879818194
2376,milne,12.084735175349207,0.002022319879818194
495,brucellosis,12.084735175349207,0.002022319879818194
374,barnstorming,12.084735175349207,0.002022319879818194
141,aiken,12.084735175349207,0.002022319879818194
2402,mnatzakanian,12.084735175349207,0.002022319879818194
1784,ioo,11.758488135136767,0.001967724072332127
1757,hydrogen,11.090354888959125,0.001855915321332876
2020,kawar,10.986122886681098,0.0018384726180165397
948,curtice,10.986122886681098,0.0018384726180165397
3339,sentner,10.986122886681098,0.0018384726180165397
497,brundage,10.986122886681098,0.0018384726180165397
2528,newsweek,10.986122886681098,0.0018384726180165397
1506,geneva,10.392328737255411,0.0017391041423752355
8671,kilograms,9.887510598012987,0.0016546253562148856
2457,munroe,9.887510598012987,0.0016546253562148856
3414,smelter,9.887510598012987,0.0016546253562148856
2221,minton,9.887510598012987,0.0016546253562148856
3923,washita,9.887510598012987,0.0016546253562148856
409,benson,9.887510598012987,0.0016546253562148856
2053,knowland,9.887510598012987,0.0016546253562148856
305,atoms,9.887510598012987,0.0016546253562148856
3568,sulphur,9.704060527839234,0.0016239259061662664
313,augusta,9.704060527839234,0.0016239259061662664
1520,gettysburg,9.325697486487782,0.001560608747022032
2470,nato,9.116077839697729,0.001525529949451961
2315,meany,9.010913347279288,0.0015079311985829616
1439,formosa,9.010913347279288,0.0015079311985829616
2149,lexington,9.010913347279288,0.0015079311985829616
2460,muscatine,9.010913347279288,0.0015079311985829616
3171,rigid,8.920232378379616,0.0014927561928036826
1335,folsom,8.788898309344878,0.0014707780944132318
1115,doria,8.788898309344878,0.0014707780944132318
198,ancher,8.788898309344878,0.0014707780944132318
221,anzio,8.788898309344878,0.0014707780944132318
2252,mansure,8.788898309344878,0.0014707780944132318
794,communistic,8.788898309344878,0.0014707780944132318
571,cain,8.788898309344878,0.0014707780944132318
1603,ht,8.788898309344878,0.0014707780944132318
1040,derfery,8.788898309344878,0.0014707780944132318
3371,shivers,8.788898309344878,0.0014707780944132318
3011,rankine,8.788898309344878,0.0014707780944132318
421,bevis,8.788898309344878,0.0014707780944132318
4350,alloys,8.788898309344878,0.0014707780944132318
3661,telegram,8.75143472610982,0.0014645087514738827
3025,reactors,8.317766166719343,0.0013919364909996568
3530,strauss,8.317766166719343,0.0013919364909996568
2242,mamie,8.317766166719343,0.0013919364909996568
2040,khrushchev,8.317766166719343,0.0013919364909996568
1307,expediency,8.317766166719343,0.0013919364909996568
595,capitalism,8.317766166719343,0.0013919364909996568
2476,neumann,8.317766166719343,0.0013919364909996568
2686,plains,8.204470055727956,0.0013729769545067648
3162,richards,7.703837054055123,0.001289198530148635
2888,presidenton,7.690286020676768,0.0012869308326115777
1946,izaguirre,7.690286020676768,0.0012869308326115777
2183,longshoremen,7.690286020676768,0.0012869308326115777
1147,dwig,7.690286020676768,0.0012869308326115777
4652,atthe,7.690286020676768,0.0012869308326115777
2786,peron,7.690286020676768,0.0012869308326115777
2871,poznan,7.690286020676768,0.0012869308326115777
605,carleton,7.690286020676768,0.0012869308326115777
2115,leroy,7.690286020676768,0.0012869308326115777
3438,somoza,7.690286020676768,0.0012869308326115777
2147,leviero,7.690286020676768,0.0012869308326115777
3791,twining,7.690286020676768,0.0012869308326115777
3107,reporton,7.690286020676768,0.0012869308326115777
3927,watertown,7.690286020676768,0.0012869308326115777
1616,hammarskjold,7.690286020676768,0.0012869308326115777
465,bragdon,7.690286020676768,0.0012869308326115777
2526,newspaperboys,7.690286020676768,0.0012869308326115777
2951,puget,7.690286020676768,0.0012869308326115777
1408,fissionable,7.690286020676768,0.0012869308326115777
2633,ophelia,7.690286020676768,0.0012869308326115777
284,ashot,7.690286020676768,0.0012869308326115777
