,term,tf_idf_score,tfidf_normalized
5229,watergate,156.65126280654763,0.016262804003789648
5153,vietnam,109.5752556331667,0.01137559234506761
2708,kissinger,106.74466580623158,0.011081733701697372
1637,environmental,96.90616083785129,0.010060345969964439
750,clemente,85.25710320887327,0.00885099509940764
2751,laos,79.01877858383376,0.008203361311646106
446,brezhnev,78.00147249543579,0.008097749334882734
2126,hanoi,74.70563562943147,0.007755590912282055
1493,ehrlichman,72.50841105209524,0.0075274852972149345
3626,peking,68.11396189742281,0.0070712740670806976
5197,vietnamese,66.49627772973896,0.00690333363629359
3203,mideast,63.76954061151497,0.006620256497117911
4342,stennis,61.522288165414146,0.006386957221879339
4827,thieu,54.93061443340549,0.0057026403766779815
799,counsellor,53.83200214473738,0.005588587569144422
719,cambodia,52.71046405406137,0.005472154711696138
4239,romania,50.59974418087601,0.0052530296118435595
648,briefing,48.497534107191925,0.005034787959713785
3357,nuclear,40.657707165051875,0.004220893665474338
5417,ziegler,40.648654680720064,0.004219953878741706
2142,heroin,39.50938929191688,0.004101680655823053
4308,shultz,38.519185270275614,0.003998882289316408
4316,skylab,36.25420552604762,0.0037637426486074673
2373,indochina,35.680929513518464,0.0037042278048404625
1101,confrontation,35.275464405410304,0.003662134307058185
3656,pow,34.657359027997266,0.003597965487564082
2554,ivory,34.056980948711406,0.0035356370335403488
2749,laird,34.056980948711406,0.0035356370335403488
834,cambodian,34.056980948711406,0.0035356370335403488
559,bhutto,32.95836866004329,0.0034215842260067885
4790,swearing,31.859756371375184,0.0033075314184732294
5232,weinberger,30.761144082707073,0.0031934786109396695
2654,kleindienst,29.662531794038966,0.00307942580340611
3799,petersen,29.662531794038966,0.00307942580340611
4592,sirica,29.662531794038966,0.00307942580340611
3650,pompidou,28.563919505370855,0.00296537299587255
1517,ervin,28.563919505370855,0.00296537299587255
773,confidentiality,28.419034402957756,0.0029503316998025467
434,bicentennial,27.725887222397812,0.0028783723900512653
2644,jury,27.725887222397812,0.0028783723900512653
4869,tanaka,27.465307216702744,0.0028513201883389907
3595,oval,27.166162243247015,0.002820264351412625
31,agnew,27.032740041837865,0.0028064130802999835
2439,incidentally,25.94976691892252,0.002693983858065791
2391,io,25.889661064741553,0.002687743948418637
1473,détente,25.268082639366526,0.0026232145732718714
1281,dunlop,25.268082639366526,0.0026232145732718714
894,ceauşescu,25.268082639366526,0.0026232145732718714
3996,recordings,24.733371594598026,0.002567703364718957
2124,haldeman,24.260151319598084,0.002518575841294857
1497,ellsberg,24.169470350698415,0.002509161765738312
5154,vietnamization,21.972245773362197,0.0022810561506711926
893,ceasefire,21.489650729732713,0.0022309553824607334
1251,deepwater,20.873633484694086,0.0021670033431376327
2948,lyndon,20.678720513516385,0.0021467683868961773
4288,saxbe,19.775021196025975,0.0020529505356040732
462,baines,19.775021196025975,0.0020529505356040732
575,biscayne,19.775021196025975,0.0020529505356040732
150,adversaries,19.056860081083727,0.0019783943957670655
3609,pakistan,18.961441906571277,0.001968488525602382
440,boggs,18.676408907357867,0.0019388977280705138
882,caspar,18.676408907357867,0.0019388977280705138
477,bangladesh,18.021826694558577,0.0018709420535333223
4977,toasts,17.840464756759232,0.0018521139024202313
2165,haig,17.577796618689757,0.0018248449205369541
4981,tolbert,17.577796618689757,0.0018248449205369541
2801,laotian,17.577796618689757,0.0018248449205369541
570,biographical,17.43499964865107,0.0018100204046379532
4225,roberto,17.328679513998633,0.001798982743782041
1134,containers,17.328679513998633,0.001798982743782041
4743,subcontinent,17.328679513998633,0.001798982743782041
778,connally,17.328679513998633,0.001798982743782041
4520,sewer,17.328679513998633,0.001798982743782041
1626,endowment,17.029534540542905,0.0017679269068556754
2217,heath,16.635532333438686,0.001727023434030759
3588,outlays,16.62406943243474,0.0017258334090733975
2007,gerald,16.62406943243474,0.0017258334090733975
4328,spiro,16.479184330021646,0.0017107921130033942
1460,duc,16.479184330021646,0.0017107921130033942
271,andreotti,16.479184330021646,0.0017107921130033942
435,bilateral,16.226618554661957,0.0016845719113328076
3165,melvin,15.942385152878742,0.0016550641242794777
2960,manpower,15.86197544107405,0.0016467163627635311
4993,tourism,15.407674108110246,0.0015995529157265633
5100,ussr,15.407674108110246,0.0015995529157265633
6312,blackmail,15.380572041353537,0.0015967393054698348
453,byrne,15.380572041353537,0.0015967393054698348
2348,icbms,15.380572041353537,0.0015967393054698348
4558,sickle,15.380572041353537,0.0015967393054698348
3746,patent,15.315010770692187,0.0015899330399096162
4930,theis,15.249237972318797,0.0015831048145281959
6643,categorical,15.249237972318797,0.0015831048145281959
444,brennan,15.249237972318797,0.0015831048145281959
4245,ronald,15.002209000002082,0.0015574594179442855
441,bombing,14.596743891893919,0.0015153659201620074
5201,vinson,14.556090791758852,0.0015111455047769143
2827,leaks,14.556090791758852,0.0015111455047769143
158,african,14.403402986722412,0.0014952941684864246
4806,tape,14.403402986722412,0.0014952941684864246
134,adele,14.281959752685427,0.001482686497936275
1379,dibona,14.281959752685427,0.001482686497936275
9191,fragmented,14.281959752685427,0.001482686497936275
4314,siting,14.281959752685427,0.001482686497936275
4341,stein,14.191278783785753,0.0014732724223797294
41,alaskan,13.862943611198906,0.0014391861950256326
3253,mollenhoff,13.862943611198906,0.0014391861950256326
4311,simon,13.78581367567759,0.0014311789245974515
3694,prosecutor,13.49179520275264,0.0014006552970632332
